Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Sydney Atkinson,-72,lifters-view?id=38931,4.,Sydney Atkinson,1994,,CO,67.93,137.5,145,-147.5,75,80,82.5,170,180,187.5,415,421.64,
Jasmyn Penn,-72,lifters-view?id=41210,5.,Jasmyn Penn,1996,,TX,70.27,-125,125,145,75,82.5,87.5,147.5,162.5,175,407.5,404.32,
CHRISTINA CHOULAGH,-72,lifters-view?id=26048,27.,CHRISTINA CHOULAGH,1994,,MI,69.68,142.5,-152.5,-152.5,77.5,85,-90,160,170,-175,397.5,396.71,
Lindsey Raker,-72,lifters-view?id=15485,7.,Lindsey Raker,1995,,IN,70.96,130,140,-145,75,80,-82.5,165,172.5,-175,392.5,386.85,
Brook McCluskey,-72,lifters-view?id=30151,8.,Brook McCluskey,1996,,NE,71.10,132.5,137.5,-142.5,77.5,80,82.5,167.5,170,-175,390,383.88,X
Kayla Ferber,-72,lifters-view?id=2534,9.,Kayla Ferber,1994,,OH,66.57,125,132.5,135,75,80,-82.5,162.5,167.5,-172.5,382.5,394.32,
Elizabeth Turner,-72,lifters-view?id=36123,10.,Elizabeth Turner,1996,,GA,70.14,127.5,132.5,137.5,75,80,-82.5,140,145,152.5,370,367.60,
KODI HUMPHREY,-72,lifters-view?id=26047,11.,KODI HUMPHREY,1995,,MI,70.70,127.5,135,142.5,57.5,62.5,70,-142.5,150,157.5,370,365.60,
Cayti Neff,-72,lifters-view?id=33519,12.,Cayti Neff,1996,,PA,69.15,122.5,130,-137.5,-72.5,-77.5,77.5,-145,150,157.5,365,366.20,
Elizabeth Jones,-72,lifters-view?id=6122,52.,Elizabeth Jones,1995,GATA Barbell,GA,71.66,122.5,-127.5,-132.5,80,82.5,-85,135,145,155,360,352.48,
Jessica Chapman,-72,lifters-view?id=32549,14.,Jessica Chapman,1997,,CA,70.89,125,132.5,135,57.5,62.5,65,135,142.5,147.5,347.5,342.74,
Rebecca Pranger,-72,lifters-view?id=39913,15.,Rebecca Pranger,1996,,CT,69.52,125,135,-140,62.5,65,-67.5,130,140,145,345,344.86,
Allison Haney,-72,lifters-view?id=26825,16.,Allison Haney,1997,,FL,70.53,100,105,110,65,70,-75,137.5,150,160,340,336.50,
Nichole Weinsheimer,-72,lifters-view?id=35710,17.,Nichole Weinsheimer,1995,,NY,70.28,120,127.5,-132.5,60,62.5,-65,132.5,142.5,-150,332.5,329.87,
Julia Shropshire,-84,lifters-view?id=4448,1.,Julia Shropshire,1994,,MS,81.46,167.5,180,187.5,77.5,85,92.5,180,192.5,205,485,439.41,
Amanda Lawrence,-84,lifters-view?id=31277,4.,Amanda Lawrence,1997,,MN,81.78,192.5,202.5,207,85,-95,-95,182.5,192.5,-200,484.5,438.04,X
Katherine Ducotey,-84,lifters-view?id=36610,8.,Katherine Ducotey,1995,,TX,82.91,172.5,-182.5,-182.5,110,115,-120,175,-187.5,-187.5,462.5,415.19,X
Ebony Sylvester,-84,lifters-view?id=7100,4.,Ebony Sylvester,1994,,LA,83.98,142.5,152.5,-160,82.5,-87.5,90,185,202.5,-210.5,445,396.85,
Megan Bigelow,-84,lifters-view?id=35001,5.,Megan Bigelow,1996,,PA,81.62,157.5,165,-175,87.5,95,-102.5,162.5,172.5,177.5,437.5,395.98,
Hannah Bryan,-84,lifters-view?id=36998,6.,Hannah Bryan,1996,,OK,80.91,160,-172.5,-172.5,90,95,-102.5,157.5,167.5,175,430,391.00,
Brianna Ziegler,-84,lifters-view?id=34218,7.,Brianna Ziegler,1995,,NJ,82.48,-137.5,142.5,147.5,-85,90,92.5,172.5,177.5,182.5,422.5,380.29,
Megan Auletta,-84,lifters-view?id=15873,8.,Megan Auletta,1994,,CT,79.83,140,147.5,-155,72.5,80,-85,170,180,-182.5,407.5,373.31,
Caitlyn Eddy,-84,lifters-view?id=31411,9.,Caitlyn Eddy,1996,,FL,75.52,137.5,147.5,155,77.5,82.5,-85,155,162.5,-170,400,378.64,
Nancy Xia,-84,lifters-view?id=32873,10.,Nancy Xia,1993,,WA,83.37,122.5,-132.5,132.5,60,65,70,140,150,160,362.5,324.47,
Izzy Greenblatt,-84,lifters-view?id=34005,11.,Izzy Greenblatt,1996,,OH,82.98,130,135,-137.5,57.5,60,65,150,157.5,-162.5,357.5,320.78,
Madeline Churches,-84,lifters-view?id=36941,12.,Madeline Churches,1994,,WI,74.27,110,117.5,127.5,60,65,67.5,117.5,130,137.5,332.5,318.04,
Melissa Granados,-84,lifters-view?id=36596,-,Melissa Granados,1995,,NY,79.37,120,127.5,-135,-67.5,-67.5,-67.5,160,170,180,0,0.00,
Kristen Harold,84+,lifters-view?id=32064,7.,Kristen Harold,1996,,IA,102.57,162.5,-170,-170,85,-90,90,205,215,227.5,480,396.82,X
Amanda Martin,84+,lifters-view?id=40705,2.,Amanda Martin,1995,,MA,117.36,182.5,197.5,-205,75,-80,-80,167.5,175,187.5,460,369.33,
Karissa Murphy,84+,lifters-view?id=32937,3.,Karissa Murphy,1995,,MD,100.25,142.5,152.5,162.5,82.5,87.5,92.5,157.5,170,182.5,437.5,364.00,
