Comp ID,Date,Name,Sanction #,State,Results,Homepage
competitions-view?id=360,02/08/2014,Elite Sports & Fitness High School PL Open,MA-2014-04,Massachusetts,,
competitions-view?id=364,02/07/2014,Lutcher High School Nationals Qualifier,LA-2014-03,Louisiana,,
competitions-view?id=338,02/01/2014,2014 MN State Meet & Midwest Open Championships,MN-2014-01,Minnesota,,
competitions-view?id=345,02/01/2014,2014 USAPL RMLC Championships,CO-2014-01,Colorado,,
competitions-view?id=341,01/26/2014,2014 USA Powerlifting Winter Open / NE Regional / Raw Collegiate PL/BP/DL Championships -,PA-2014-02,Pennsylvania,,
competitions-view?id=375,01/25/2014,USAPL GA Winter Classic & Single Ply Invitational,GA-2014-01,Georgia,,
competitions-view?id=401,01/25/2014,2014 NE USAPL Capital City Clash,NE-2014-01,Nebraska,,
competitions-view?id=370,01/20/2014,St. John's Classic,MA-2014-01,Massachusetts,,
competitions-view?id=367,01/19/2014,Northeast Iron Beast Winter Classic,NY-2014-01,New York,,
competitions-view?id=363,01/18/2014,LOUISIANA STATE POWERLIFTING CHAMPIONSHIP,LA-2014-01,Louisiana,,
competitions-view?id=379,01/18/2014,Wisconsin State Open,WI-2014-01,Wisconsin,,
competitions-view?id=365,01/11/2014,New England Open,MA-2014-03,Massachusetts,,
competitions-view?id=541,12/14/2013,2013 USAPL Sunshine Games Powerlifting Championships,13-12-01,Florida,,
competitions-view?id=530,12/07/2013,2013 USAPL Southside Winter Classic,AK-2013-03,Alaska,,
competitions-view?id=532,12/07/2013,2013 American Open,,,,
competitions-view?id=535,12/07/2013,2013 Colorado State Championships -,CO-2013-03,Colorado,,
competitions-view?id=536,12/07/2013,USAPL Border Bash,GA-2013-06,Georgia,,
competitions-view?id=543,12/07/2013,2013 Texas Regional Championships,TX-2013-01,Texas,,
competitions-view?id=529,11/17/2013,First Annual Raw Collegiate Cup,MA-2013-05,Massachusetts,,
competitions-view?id=526,11/09/2013,2013 USAPL Ohio State Meet,OH-2013-02,Ohio,,
competitions-view?id=527,11/09/2013,2013 USAPL Georgia & Southern States,GA-2013-04,,,
competitions-view?id=495,11/06/2013,IPF Classic World Men's Championships- Russia/ Suzdal,,,,
competitions-view?id=484,11/05/2013,USAPL Push/Pull Spring Power Challenge,,,,
competitions-view?id=455,11/02/2013,2013 USAPL So Cal Regional Championships,CA-2013-02,,,
competitions-view?id=519,10/26/2013,2013 Mile High Push Pull,CO-2013-02,Colorado,,
