Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Elizabeth Jones,-72,lifters-view?id=6122,17.,Elizabeth Jones,1995,,GA,71.15,115,125,-127.5,65,-72.5,-72.5,-130,130,135,325,319.74,
Luisa Coutinho,-72,lifters-view?id=31985,18.,Luisa Coutinho,1994,Squats & Science,NY,63.46,115,125,-130,-62.5,62.5,65,117.5,125,130,320,341.79,
Gailynn Petry,-72,lifters-view?id=27798,19.,Gailynn Petry,1994,,MD,69.26,115,-122.5,-122.5,62.5,65,-67.5,130,137.5,-145,317.5,318.20,
Emily Lin,-72,lifters-view?id=24800,20.,Emily Lin,1993,,NY,65.61,100,-107.5,107.5,60,62.5,65,120,-130,130,302.5,315.17,
Neale Snyder,-72,lifters-view?id=28284,21.,Neale Snyder,1994,,OR,68.92,95,-100,100,62.5,67.5,70,115,122.5,130,300,301.71,
Kelsie Saurber,-72,lifters-view?id=29569,22.,Kelsie Saurber,1993,,SC,67.77,80,90,102.5,62.5,67.5,-72.5,107.5,112.5,125,295,300.22,
Lucy O'Shaughnessy,-72,lifters-view?id=13935,23.,Lucy O'Shaughnessy,1993,,NY,65.69,97.5,-105,105,52.5,55,-57.5,120,130,132.5,292.5,304.49,
Anna Finch,-72,lifters-view?id=26329,24.,Anna Finch,1993,,KS,70.57,100,-107.5,-107.5,50,55,-57.5,115,122.5,-130,277.5,274.53,
Lacy Meyer,-72,lifters-view?id=31751,25.,Lacy Meyer,1994,,VA,66.20,107.5,112.5,-117.5,45,-47.5,-47.5,107.5,112.5,117.5,275,284.65,
Ariel Reaves,-72,lifters-view?id=26928,26.,Ariel Reaves,1993,,GA,71.93,85,-92.5,92.5,60,65,-67.5,100,110,115,272.5,266.15,
Julia Shropshire,-84,lifters-view?id=4448,1.,Julia Shropshire,1994,,MS,83.11,165,175.5,-182.5,77.5,-85,-85,155,170,185,438,392.71,
Mercedes Vandaver,-84,lifters-view?id=7982,2.,Mercedes Vandaver,1994,Raise the Bar,WI,76.54,127.5,135,142.5,82.5,87.5,-92.5,150,157.5,165,395,370.83,
Emilia Sainato,-84,lifters-view?id=27309,24.,Emilia Sainato,1993,,NY,82.34,137.5,147.5,157.5,72.5,-77.5,77.5,142.5,152.5,160,395,355.86,
Megan Auletta,-84,lifters-view?id=15873,4.,Megan Auletta,1994,,CT,81.13,127.5,137.5,142.5,70,75,-80,150,165,167.5,385,349.58,
Ebony Sylvester,-84,lifters-view?id=7100,5.,Ebony Sylvester,1994,,LA,82.37,115,125,135,67.5,72.5,-75,165,177.5,-190,385,346.77,
Brittany Lyon,-84,lifters-view?id=29229,6.,Brittany Lyon,1993,,CA,80.44,105,115,122.5,60,65,67.5,130,145,152.5,342.5,312.43,
Brittany Bond,-84,lifters-view?id=30050,7.,Brittany Bond,1996,,AK,76.24,115,122.5,127.5,57.5,60,62.5,140,145,-152.5,335,315.27,
Katelynn Henderson,-84,lifters-view?id=25683,8.,Katelynn Henderson,1993,,AZ,81.54,-135,135,-142.5,55,57.5,60,135,137.5,-142.5,332.5,301.08,
Karissa Murphy,-84,lifters-view?id=32937,9.,Karissa Murphy,1995,,MD,83.64,107.5,112.5,-117.5,62.5,-67.5,-67.5,120,127.5,135,310,277.05,
Katharina Pajic,-84,lifters-view?id=14299,10.,Katharina Pajic,1993,,FL,82.75,95,105,110,45,52.5,-57.5,120,130,137.5,300,269.58,
Victoria Osuna,-84,lifters-view?id=16103,11.,Victoria Osuna,1995,,OR,74.97,90,-100,-100,57.5,62.5,-67.5,117.5,-125,125,277.5,263.87,
Danny Sullivan,-93,lifters-view?id=22602,8.,Danny Sullivan,1994,Flexx Training Systems,IL,93.00,262.5,272.5,277.5,182.5,190,-192.5,292.5,307.5,-315,775,486.86,
Lauren Varosi-Garavaglia,84+,lifters-view?id=26330,1.,Lauren Varosi-Garavaglia,1996,,MI,137.84,-165,165,180,80,87.5,95,155,170,180,455,354.81,
Aneesa Said,84+,lifters-view?id=5517,12.,Aneesa Said,1994,,GA,90.47,165,175,-185,70,80,-87.5,187.5,197.5,-205,452.5,390.15,
Jenny Nocas,84+,lifters-view?id=5890,3.,Jenny Nocas,1993,,TX,84.44,142.5,-150,152.5,92.5,97.5,102.5,160,167.5,170,425,378.00,
Anna Gailius,84+,lifters-view?id=15768,4.,Anna Gailius,1995,,IL,96.79,125,132.5,140,77.5,90,95,150,165,170,405,340.65,
Elena Chapman,84+,lifters-view?id=32314,5.,Elena Chapman,1975,,GA,97.24,152.5,162.5,172.5,72.5,77.5,-80,132.5,145,152.5,402.5,338.02,
Heather Caples,84+,lifters-view?id=32110,18.,Heather Caples,1995,,IN,98.93,137.5,145,-150,82.5,-92.5,-92.5,170,-180,-180,397.5,332.03,
Taylor Podboy,84+,lifters-view?id=8022,7.,Taylor Podboy,1995,Raise the Bar,WI,98.03,125,132.5,-137.5,60,62.5,65,137.5,147.5,157.5,355,297.35,
Lisa Rothman,-47,lifters-view?id=14276,2.,Lisa Rothman,1975,,FL,46.54,115,-120,120,62.5,65,-67.5,135,-140,140,325,440.18,
Lisa Randazzo,-47,lifters-view?id=18045,7.,Lisa Randazzo,1976,,ME,46.54,110,117.5,-125,57.5,60,-62.5,125,-132.5,132.5,310,419.86,
Kelley Sherwin,-47,lifters-view?id=5921,10.,Kelley Sherwin,1972,,WI,46.35,82.5,-90,90,55,60,-62.5,112.5,125,-130,275,373.56,
Suzanne Hartwig-Gary,-52,lifters-view?id=392,2.,Suzanne Hartwig-Gary,1968,,MD,51.28,140,147.5,154,70,75,-77.5,142.5,152.5,160,389,490.18,
